,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
8960,02331-09-138-138,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,17.0,1,2,MIDDLE UNIT,235000,0,235000,235000,3,2012,Q,I
8961,02331-09-164-164,233,1130,731,0,0,1980,AVG,B,1,1,None,0,,20.0,1,1,MIDDLE UNIT,188500,0,188500,188500,12,2011,U,I
8962,02331-09-188-188,233,1130,731,0,0,1980,AVG,B,1,1,None,0,,23.0,1,1,MIDDLE UNIT,200000,7000,193000,193000,4,2012,Q,I
8963,02331-09-191-191,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,24.0,2,2,END UNIT,312000,0,312000,312000,11,2011,Q,I
8964,02331-09-198-198,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,24.0,1,2,MIDDLE UNIT,240000,0,240000,240000,1,2011,U,I
8965,02331-09-201-201,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,25.0,2,2,END UNIT,420000,0,420000,420000,7,2011,Q,I
8966,02331-09-211-211,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,26.0,2,2,END UNIT,325000,0,325000,325000,1,2011,Q,I
8967,02331-09-223-223,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,28.0,2,2,END UNIT,330000,0,330000,330000,8,2010,Q,I
8968,02331-09-231-231,233,1130,1283,0,0,1980,Good,B,1,1,None,0,,29.0,2,2,END UNIT,291000,8250,282750,282750,12,2011,U,I
8969,02331-09-238-238,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,29.0,1,2,MIDDLE UNIT,232500,0,232500,232500,10,2011,U,I
8970,02331-09-239-239,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,30.0,2,2,END UNIT,375000,0,375000,375000,12,2010,Q,I
8971,02331-09-246-246,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,30.0,1,2,MIDDLE UNIT,257500,4000,253500,253500,2,2012,Q,I
